Country,GDP_cap
qatar,100889
luxembourg,77958
singapore,60799
norway,54397
brunei,54114
united states,51704
hong kong,50936
switzerland,44864
san marino,42724
canada,42317
australia,41954
austria,41908
netherlands,41527
ireland,40716
sweden,40304
kuwait,39874
iceland,39718
germany,38666
taiwan,38400
belgium,37459
denmark,37324
united kingdom,36569
japan,35855
finland,35771
france,35295
israel,33878
south korea,31950
bahamas the,31324
saudi arabia,30477
spain,30058
italy,29812
new zealand,29481
united arab emirates,29176
oman,28843
bahrain,28691
slovenia,27837
czech republic,27000
malta,26857
cyprus,26794
equatorial guinea,26487
barbados,25043
seychelles,24989
greece,24260
slovakia,24142
palau,23053
portugal,23047
estonia,21714
lithuania,21383
poland,20562
east timor,20113
trinidad and tobago,19826
hungary,19497
chile,18211
latvia,18058
gabon,18051
argentina,17917
antigua and barbuda,17833
croatia,17618
russia,17518
malaysia,16794
saint kitts and nevis,16066
uruguay,15865
botswana,15706
lebanon,15587
belarus,15479
panama,15449
mauritius,15424
mexico,15363
turkey,14812
bulgaria,14103
dominica,13994
grenada,13549
kazakhstan,13526
venezuela,13480
saint lucia,13000
iran,12986
romania,12722
costa rica,12545
suriname,12299
libya,11936
saint vincent and the grenadines,11768
brazil,11747
montenegro,11610
south africa,11281
serbia,10722
colombia,10671
peru,10596
macedonia,10465
azerbaijan,10365
ecuador,10215
tunisia,9650
dominican republic,9547
thailand,9503
china,9055
jamaica,8916
maldives,8856
belize,8659
turkmenistan,8641
marshall islands,8590
bosnia and herzegovina,8127
albania,7997
tonga,7987
guyana,7965
namibia,7800
kosovo[4],7506
el salvador,7316
ukraine,7295
algeria,7268
micronesia fed. sts.,7123
iraq,7004
bhutan,6564
egypt,6474
kiribati,6241
samoa,6157
angola,6092
paraguay,6053
sri lanka,6046
jordan,5977
armenia,5924
georgia,5842
swaziland,5719
mongolia,5314
morocco,5193
guatemala,5153
bolivia,5041
indonesia,4923
vanuatu,4843
honduras,4744
fiji,4740
congo rep.,4616
philippines,4380
cape verde,4368
nicaragua,4352
india,3843
vietnam,3788
uzbekistan,3523
tuvalu,3443
moldova,3378
ghana,3316
solomon islands,3288
pakistan,3056
laos,2847
papua new guinea,2736
nigeria,2697
djibouti,2648
sudan,2549
chad,2474
cambodia,2395
kyrgyzstan,2351
cameroon,2338
yemen,2251
tajikistan,2205
lesotho,2126
são tomé and príncipe,2121
mauritania,2096
senegal,2005
bangladesh,1963
gambia the,1868
kenya,1781
côte d'ivoire,1707
zambia,1683
tanzania,1627
burma,1612
benin,1556
nepal,1457
rwanda,1441
uganda,1424
burkina faso,1415
sierra leone,1295
ethiopia,1256
comoros,1251
haiti,1229
guinea-bissau,1210
mozambique,1155
south sudan,1120
guinea,1109
togo,1093
mali,1088
afghanistan,1055
madagascar,945
central african republic,851
malawi,848
niger,807
eritrea,710
liberia,665
burundi,619
zimbabwe,552
congo dem. rep.,365
